Sector,Subsector,Consumption [kWh/year],Consumption [kWh/product]
AUXILIARY SERVICES,Movement systems,260181,1.035818364227021
AUXILIARY SERVICES,Compressed air,243000,0.9674183068985286
AUXILIARY SERVICES,Chipboard extraction,162250,0.645940824256322
AUXILIARY SERVICES,UTA gluing area,159465,0.6348533346072999
AUXILIARY SERVICES,Automatic warehouse,142814,0.5685632842856233
GENERAL SERVICES,Lighting,134341,0.5348310401936429
GENERAL SERVICES,UTA offices,131541,0.5236838333651825
MAIN ACTIVITIES,Milling center,129351,0.514965125167208
GENERAL SERVICES,Environmental heating,98847,0.39352426906172366
GENERAL SERVICES,UTA canteen,62132,0.24735651952353654
AUXILIARY SERVICES,Pumping system,52248,0.20800687941907128
AUXILIARY SERVICES,UPS Local,20991,0.08356822090579018
GENERAL SERVICES,Other general services,14784,0.058857252054270975
