Month;Total need [kWh];PV production [kWh];Bought [kWh];Self-consumed [kWh];Sold [kWh]
January;156089;37050;125549;30540;6510
February;155483;49700;114573;40910;8790
March;168753;79500;103163;65590;13910
April;145624;94020;77494;68130;25890
May;144305;105500;67775;76530;28970
June;131082;110580;61362;69720;40860
July;117783;70010;67913;49870;20140
August;104298;86450;55258;49040;37410
September;114822;76930;71472;43350;33580
October;115105;50590;81375;33730;16860
November;128025;31000;107595;20430;10570
December;130575;17510;115845;14730;2780
